"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"RENDERMAN","\Sphinx Re-Index","Disabled","","Interactive only","20/12/2012 08:00:00","0","RENDERMAN\Administrator","I:\spider\sphinx_fullindex.bat ","N/A","N/A","Disabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\Administrator","Disabled","72:00:00","Scheduling data is not available in this format.","Weekly","08:00:00","1/6/2012","N/A","Every day of the week","Every 1 week(s)","Disabled","Disabled","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_bot_all_web_1","2/1/2013 04:40:05","Running","Interactive/Background","1/1/2013 22:40:05","267009","RENDERMAN\itteam","C:\Script\warroom_fetch_bot_all_web_1.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\taskbot","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","22:40:05","26/12/2012","N/A","N/A","N/A","6 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_bot_all_web_2","2/1/2013 01:30:05","Could not start","Interactive/Background","1/1/2013 19:30:05","-2147023651","RENDERMAN\itteam","C:\Script\warroom_fetch_bot_all_web_2.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\taskbot","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","01:30:05","27/12/2012","N/A","N/A","N/A","6 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_bot_Pantip_Cafe_1","2/1/2013 02:00:55","Could not start","Interactive/Background","1/1/2013 20:00:55","-2147023651","RENDERMAN\itteam","C:\Script\warroom_fetch_bot_Pantip_Cafe_1.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\taskbot","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","20:00:55","21/12/2012","N/A","N/A","N/A","6 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_bot_Pantip_Cafe_2","1/1/2013 23:00:00","Could not start","Interactive only","1/1/2013 17:00:00","-2147023651","RENDERMAN\itteam","C:\Script\warroom_fetch_bot_Pantip_Cafe_2.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\itteam","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","23:00:00","21/12/2012","N/A","N/A","N/A","6 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_bot_Pantip_Cafe_3","1/1/2013 23:00:00","Could not start","Interactive only","1/1/2013 17:00:00","-2147023651","RENDERMAN\itteam","C:\Script\warroom_fetch_bot_Pantip_Cafe_3.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\itteam","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","23:00:00","21/12/2012","N/A","N/A","N/A","6 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_bot_Pantip_Cafe_4","2/1/2013 00:00:10","Could not start","Interactive only","1/1/2013 18:00:10","-2147023651","RENDERMAN\itteam","C:\Script\warroom_fetch_bot_Pantip_Cafe_4.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\itteam","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","00:00:10","21/12/2012","N/A","N/A","N/A","6 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_bot_Pantip_Tech","2/1/2013 01:00:05","Could not start","Interactive only","1/1/2013 19:00:05","-2147023651","RENDERMAN\itteam","C:\Script\warroom_fetch_bot_Pantip_Tech.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\itteam","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","01:00:05","21/12/2012","N/A","N/A","N/A","6 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_bot_Tech1","1/1/2013 22:47:49","Could not start","Interactive only","1/1/2013 22:17:48","-2147023651","RENDERMAN\itteam","C:\Script\warroom_fetch_bot_Tech1.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\itteam","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Minute ","N/A","N/A","N/A","N/A","N/A","0 Hour(s), 30 Minute(s)","None","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_daily_Pantip_Cafe_id_10","1/1/2013 23:10:16","Could not start","Interactive only","1/1/2013 22:40:16","-2147023651","RENDERMAN\itteam","C:\Script\warroom_fetch_daily_Pantip_Cafe_id_10.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\itteam","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Minute ","20:10:16","21/12/2012","N/A","N/A","N/A","0 Hour(s), 30 Minute(s)","None","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_daily_Pantip_Cafe_id_11","1/1/2013 22:45:29","Could not start","Interactive only","1/1/2013 21:45:29","-2147023651","RENDERMAN\itteam","C:\Script\warroom_fetch_daily_Pantip_Cafe_id_11.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\itteam","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Minute ","20:15:29","21/12/2012","N/A","N/A","N/A","0 Hour(s), 30 Minute(s)","None","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_daily_Pantip_Cafe_id_12","1/1/2013 22:50:50","Could not start","Interactive only","1/1/2013 22:20:50","-2147023651","RENDERMAN\itteam","C:\Script\warroom_fetch_daily_Pantip_Cafe_id_12.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\itteam","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Minute ","20:20:50","21/12/2012","N/A","N/A","N/A","0 Hour(s), 30 Minute(s)","None","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_daily_Pantip_Cafe_id_13","1/1/2013 22:55:37","Could not start","Interactive only","1/1/2013 22:25:36","-2147023651","RENDERMAN\itteam","C:\Script\warroom_fetch_daily_Pantip_Cafe_id_13.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\itteam","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Minute ","20:25:37","21/12/2012","N/A","N/A","N/A","0 Hour(s), 30 Minute(s)","None","Disabled","Disabled"
"RENDERMAN","\warroom_fetch_daily_Pantip_Cafe_id_14","1/1/2013 23:00:21","Could not start","Interactive only","1/1/2013 22:30:21","-2147023651","RENDERMAN\itteam","C:\Script\warroom_fetch_daily_Pantip_Cafe_id_14.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","RENDERMAN\itteam","Enabled","72:00:00","Scheduling data is not available in this format.","One Time Only, Minute ","20:30:21","21/12/2012","N/A","N/A","N/A","0 Hour(s), 30 Minute(s)","None","Disabled","Disabled"
